feature,importance,std
latitude,54859.19931996251,880.4798454809417
longitude,35848.987592333506,560.8766734914567
median_income,34853.94736063717,878.4690940638905
DistSF,18789.665144956663,425.1413851178672
DistCoast,16005.962509100678,301.68720385177465
PopulationPerHousehold,15056.007536535606,571.6146477989786
CoastOrdinal,9842.642619318878,459.87676556153525
DistLA,7766.101198624415,347.8747130198586
RoomsPerHousehold,5150.038046276366,296.3737626836137
housing_median_age,4602.817717208205,387.2559327075206
IncomePerRoom,3009.2707222598765,252.91133028916784
BedroomRatio,2222.674293691135,227.39360379375498
GeoCluster,1856.9821201783664,247.27234795919404
ocean_proximity,1332.447329173582,122.41780249092537
total_rooms,656.9282127558879,82.27696204593894
